,ID,ADDRESS,CITY,PROVINCE,COUNTRY,POSTAL_CODE,LATITUDE,LONGITUDE
0,1,994 Rue Rachel E,Montreal,QC,CA,H2J 2J3,45.52544975249137,-73.5748009172072
1,2,707 Dundas St W,Toronto,ON,CA,M5T 2W6,43.65236871394612,-79.4047988562147
2,3,738 17 Ave SW,Calgary,AB,CA,T2S 0B7,51.03799197323287,-114.07904892739653
3,4,200 Deschamps Ave,Ottawa,ON,CA,K1L 1A7,45.436838542722256,-75.66492067103219
4,5,8720 109 St NW,Edmonton,AB,CA,T6G 1E9,53.523360280166926,-113.5122736159145
5,6,236 Queen St S,Mississauga,ON,CA,L5M 1L5,43.580863401527644,-79.71258919388798
6,7,219 St Marys Rd,Winnipeg,MB,CA,R2H 1J2,49.87584376187938,-97.11791350910796
7,8,1215 Davie St,Vancouver,BC,CA,V6E 1N4,49.28219628604949,-123.13344955779075
8,9,735 Rue Saint-Joseph E,Quebec City,QC,CA,G1K 3C6,46.815787118751075,-71.21979772493185
9,10,5239 Blowers St,Halifax,NS,CA,B3J 1J8,44.64531335610364,-63.57413202406409
